conf,precision,recall,interpolated_precision
,1,0,1
0.99,0.7235294117647059,0.09307604994324631,0.7235294117647059
0.98,0.6614699331848553,0.11237230419977298,0.6614699331848553
0.97,0.6377358490566037,0.12788497919031402,0.6377358490566037
0.96,0.6313043478260869,0.1373439273552781,0.6313043478260869
0.95,0.6237785016286646,0.14491108588724932,0.6237785016286646
0.94,0.6138461538461538,0.15096481271282633,0.6138461538461538
0.9299999999999999,0.6038291605301914,0.1551267499054105,0.609308885754584
0.9199999999999999,0.609308885754584,0.16345062429057888,0.609308885754584
0.9099999999999999,0.6081632653061224,0.16912599318955732,0.6081632653061224
0.8999999999999999,0.6007905138339921,0.17253121452894438,0.6007905138339921
0.8899999999999999,0.5968992248062015,0.17480136208853575,0.5968992248062015
0.8799999999999999,0.5934343434343434,0.17782822550132427,0.5934343434343434
0.8699999999999999,0.591187270501836,0.18274687854710556,0.591187270501836
0.8599999999999999,0.5879518072289157,0.1846386681800984,0.5879518072289157
0.8499999999999999,0.5849941383352872,0.18880060537268256,0.5849941383352872
0.8399999999999999,0.5833333333333334,0.19069239500567536,0.5833333333333334
0.8299999999999998,0.5797266514806378,0.1925841846386682,0.5797266514806378
0.8199999999999998,0.578177727784027,0.194475974271661,0.578177727784027
0.8099999999999998,0.5734806629834254,0.1963677639046538,0.5734806629834254
0.7999999999999998,0.5704918032786885,0.19750283768444948,0.5704918032786885
0.7899999999999998,0.5694294940796556,0.20015134317063943,0.5694294940796556
0.7799999999999998,0.5692963752665245,0.20204313280363223,0.5692963752665245
0.7699999999999998,0.5669125395152792,0.2035565645100265,0.5669125395152792
0.7599999999999998,0.5644490644490644,0.2054483541430193,0.5644490644490644
0.7499999999999998,0.5627572016460906,0.20696178584941355,0.5627572016460906
0.7399999999999998,0.5625635808748728,0.20923193340900492,0.5625635808748728
0.7299999999999998,0.5585585585585585,0.21112372304199772,0.5596508244422891
0.7199999999999998,0.5583905789990187,0.21528566023458193,0.5596508244422891
0.7099999999999997,0.5596508244422891,0.21831252364737042,0.5596508244422891
0.6999999999999997,0.5559808612440191,0.21982595535376467,0.5559808612440191
0.6899999999999997,0.5533522190745986,0.22171774498675748,0.5533522190745986
0.6799999999999997,0.5527544351073763,0.22398789254634885,0.5527544351073763
0.6699999999999997,0.5493087557603686,0.2255013242527431,0.5493087557603686
0.6599999999999997,0.5470319634703197,0.2266363980325388,0.5470319634703197
0.6499999999999997,0.5454545454545454,0.2292849035187287,0.5454545454545454
0.6399999999999997,0.544404973357016,0.23193340900491866,0.544404973357016
0.6299999999999997,0.5414847161572053,0.2345819144911086,0.5414847161572053
0.6199999999999997,0.5393258426966292,0.23609534619750283,0.5393258426966292
0.6099999999999997,0.5357751277683135,0.23798713583049566,0.5357751277683135
0.5999999999999996,0.5318257956448911,0.24025728339008703,0.5318257956448911
0.5899999999999996,0.5314569536423841,0.24290578887627695,0.5314569536423841
0.5799999999999996,0.5287356321839081,0.2436625047294741,0.5287356321839081
0.5699999999999996,0.5263157894736842,0.24593265228906547,0.5263157894736842
0.5599999999999996,0.5245374094931617,0.24668936814226258,0.5245374094931617
0.5499999999999996,0.5238473767885533,0.24933787362845253,0.5238473767885533
0.5399999999999996,0.5208497246262785,0.2504729474082482,0.5208978328173375
0.5299999999999996,0.5208978328173375,0.2546348846008324,0.5208978328173375
0.5199999999999996,0.5160796324655437,0.25501324252743096,0.5160796324655437
0.5099999999999996,0.5150375939849624,0.25917517972001514,0.5150375939849624
0.49999999999999956,0.5133531157270029,0.2618236852062051,0.5146412884333821
