conf,precision,recall,interpolated_precision
,1,0,1
0.99,0.7336956521739131,0.1021566401816118,0.7336956521739131
0.98,0.6849015317286652,0.11842603102534999,0.6849015317286652
0.97,0.6640625,0.12864169504351117,0.6640625
0.96,0.6494464944649446,0.13318199016269391,0.6494464944649446
0.95,0.64,0.1392357169882709,0.64
0.94,0.6307947019867549,0.1441543700340522,0.6307947019867549
0.9299999999999999,0.6204724409448819,0.14907302307983353,0.6204724409448819
0.9199999999999999,0.6099397590361446,0.1532349602724177,0.6099397590361446
0.9099999999999999,0.6020408163265306,0.1562618236852062,0.6020408163265306
0.8999999999999999,0.5926966292134831,0.15966704502459325,0.5926966292134831
0.8899999999999999,0.580952380952381,0.16155883465758608,0.580952380952381
0.8799999999999999,0.571994715984148,0.16382898221717745,0.571994715984148
0.8699999999999999,0.5688775510204082,0.16874763526295877,0.5714285714285714
0.8599999999999999,0.5714285714285714,0.17253121452894438,0.5714285714285714
0.8499999999999999,0.5641975308641975,0.17290957245554295,0.5641975308641975
0.8399999999999999,0.5639464068209501,0.17517972001513432,0.5639464068209501
0.8299999999999998,0.5575326215895611,0.17782822550132427,0.5575326215895611
0.8199999999999998,0.5523590333716916,0.18161180476730987,0.5523590333716916
0.8099999999999998,0.54627539503386,0.18312523647370413,0.54627539503386
0.7999999999999998,0.5424107142857143,0.18388195232690124,0.5424107142857143
0.7899999999999998,0.5417582417582417,0.1865304578130912,0.5417582417582417
0.7799999999999998,0.5377969762419006,0.188422247446084,0.5377969762419006
0.7699999999999998,0.5336179295624333,0.18917896329928113,0.5336179295624333
0.7599999999999998,0.5298429319371728,0.1914491108588725,0.5298429319371728
0.7499999999999998,0.5231243576567317,0.1925841846386682,0.5231243576567317
0.7399999999999998,0.521255060728745,0.19485433219825957,0.521255060728745
0.7299999999999998,0.5178571428571429,0.19750283768444948,0.5178571428571429
0.7199999999999998,0.5131964809384164,0.19863791146424517,0.5133843212237094
0.7099999999999997,0.5125482625482626,0.20090805902383654,0.5133843212237094
0.6999999999999997,0.5133843212237094,0.20317820658342792,0.5133843212237094
0.6899999999999997,0.5060577819198508,0.2054483541430193,0.5060577819198508
0.6799999999999997,0.5055350553505535,0.20734014377601212,0.5055350553505535
0.6699999999999997,0.5004524886877828,0.20923193340900492,0.5004524886877828
0.6599999999999997,0.5,0.21263715474839198,0.5
0.6499999999999997,0.4938704028021016,0.2133938706015891,0.4938704028021016
0.6399999999999997,0.4897260273972603,0.2164207340143776,0.4897260273972603
0.6299999999999997,0.4881956155143339,0.21906923950056753,0.4881956155143339
0.6199999999999997,0.48668885191347755,0.2213393870601589,0.48686371100164205
0.6099999999999997,0.48686371100164205,0.22436625047294742,0.48686371100164205
0.5999999999999996,0.48582995951417,0.22701475595913734,0.48582995951417
0.5899999999999996,0.4856,0.22966326144532728,0.4856
0.5799999999999996,0.48539857932123126,0.23269012485811577,0.48539857932123126
0.5699999999999996,0.48364485981308414,0.23496027241770714,0.4844579226686884
0.5599999999999996,0.48424289008455035,0.2383654937570942,0.4844579226686884
0.5499999999999996,0.4844579226686884,0.24177071509648126,0.4844579226686884
0.5399999999999996,0.48237059264816207,0.24328414680287552,0.483187134502924
0.5299999999999996,0.4810971089696071,0.2455542943624669,0.483187134502924
0.5199999999999996,0.483187134502924,0.25009458948164964,0.483187134502924
0.5099999999999996,0.4824624194702935,0.25501324252743096,0.4824624194702935
0.49999999999999956,0.48056537102473496,0.25728339008702233,0.48056537102473496
0.48999999999999955,0.48044692737430167,0.2603102534998108,0.48044692737430167
0.47999999999999954,0.47835051546391755,0.2633371169125993,0.47835051546391755
0.46999999999999953,0.4759322033898305,0.2656072644721907,0.4759322033898305
0.4599999999999995,0.4743504330446369,0.2693908437381763,0.4743504330446369
0.4499999999999995,0.47171052631578947,0.27128263337116915,0.47171052631578947
0.4399999999999995,0.4694805194805195,0.2735527809307605,0.4694805194805195
0.4299999999999995,0.46705054382597566,0.2762012864169504,0.46916565900846435
0.4199999999999995,0.4657016991818754,0.27998486568293607,0.46916565900846435
0.4099999999999995,0.46600741656365885,0.2852818766553159,0.46916565900846435
0.39999999999999947,0.46916565900846435,0.2936057510404843,0.46916565900846435
0.38999999999999946,0.4679715302491103,0.2985244040862656,0.4679715302491103
0.37999999999999945,0.46635730858468677,0.30419977298524403,0.4668192219679634
0.36999999999999944,0.4668192219679634,0.3087400681044268,0.4668192219679634
0.35999999999999943,0.4646860986547085,0.3136587211502081,0.4646860986547085
0.3499999999999994,0.4639515685195377,0.318955732122588,0.46453333333333335
0.3399999999999994,0.46453333333333335,0.3295497540673477,0.46453333333333335
0.3299999999999994,0.4616588419405321,0.3348467650397276,0.4616588419405321
0.3199999999999994,0.4592668024439919,0.34127884979190315,0.4592668024439919
0.3099999999999994,0.4547726136931534,0.34430571320469167,0.4547726136931534
0.2999999999999994,0.45107632093933464,0.3488460083238744,0.45107632093933464
0.28999999999999937,0.44875478927203066,0.3545213772228528,0.44875478927203066
0.27999999999999936,0.4454291044776119,0.36133181990162694,0.4454291044776119
0.26999999999999935,0.44510250569476084,0.3696556942867953,0.44510250569476084
0.25999999999999934,0.4447893569844789,0.3794930003783579,0.4447893569844789
0.24999999999999933,0.4442032132001737,0.3870601589103292,0.4442032132001737
0.23999999999999932,0.44147582697201015,0.3938706015891033,0.44147582697201015
0.22999999999999932,0.43706149401568306,0.40068104426787743,0.43706149401568306
0.2199999999999993,0.4366479550922213,0.4120317820658343,0.4366479550922213
0.2099999999999993,0.43557804593226934,0.42338251986379116,0.43557804593226934
0.1999999999999993,0.43350864012021034,0.43662504729474083,0.43440233236151604
0.18999999999999928,0.43440233236151604,0.4510026485054862,0.43440233236151604
0.17999999999999927,0.4319715808170515,0.4600832387438517,0.4319715808170515
0.16999999999999926,0.4269508422138192,0.4699205448354143,0.4269508422138192
0.15999999999999925,0.4258214404248258,0.48543321982595533,0.4261590420632484
0.14999999999999925,0.42587255843739996,0.5032160423760877,0.4261590420632484
0.13999999999999924,0.4261590420632484,0.5251608021188043,0.4261590420632484
0.12999999999999923,0.42437722419928825,0.5414301929625426,0.4248866213151927
0.11999999999999922,0.4248866213151927,0.5671585319712448,0.4248866213151927
0.10999999999999921,0.41962591488208184,0.5856980703745743,0.41962591488208184
0.0999999999999992,0.4173166926677067,0.6072644721906924,0.4173166926677067
0.08999999999999919,0.4102055982164974,0.626560726447219,0.4102055982164974
0.07999999999999918,0.40327169274537694,0.6435868331441543,0.40327169274537694
0.06999999999999917,0.39923954372623577,0.6753688989784336,0.39923954372623577
0.059999999999999165,0.39325842696629215,0.7150964812712827,0.39325842696629215
0.049999999999999156,0.38184633249467775,0.7465001891789633,0.38184633249467775
0.03999999999999915,0.3634897886062343,0.7676882330684828,0.3634897886062343
0.02999999999999914,0.34301181102362205,0.7911464245175936,0.34301181102362205
0.01999999999999913,0.31130839761315676,0.8093076049943246,0.31130839761315676
0.00999999999999912,0.26782015352747657,0.8316307226636398,0.26782015352747657
0.001,0.1433010191399453,0.8724933787362845,0.1433010191399453
0,0.033681584281927336,0.8989784335981839,0.033681584281927336
