ts,used_mib,free_mib
1780331305.944118694,221, 11873
1780331307.009070995,221, 11873
1780331308.060503344,221, 11873
1780331309.111417002,221, 11873
1780331310.166411321,221, 11873
1780331311.210834993,221, 11873
1780331312.272384271,221, 11873
1780331313.324531966,221, 11873
1780331314.377197167,221, 11873
1780331315.428821479,221, 11873
1780331316.486456698,221, 11873
1780331317.533678991,221, 11873
1780331318.585709233,221, 11873
1780331319.637591805,221, 11873
1780331320.695218924,221, 11873
1780331321.784054805,221, 11873
1780331322.842338660,221, 11873
1780331323.898540241,221, 11873
1780331324.962337099,221, 11873
1780331326.008215805,221, 11873
1780331327.055794916,221, 11873
1780331328.113261216,221, 11873
1780331329.167931457,221, 11873
1780331330.223825991,221, 11873
1780331331.283352319,221, 11873
1780331332.341827360,221, 11873
1780331333.413672399,221, 11873
1780331334.471164176,221, 11873
1780331335.531971009,221, 11873
1780331336.580010490,221, 11873
1780331337.632895649,221, 11873
1780331338.686374558,223, 11871
1780331339.732438148,223, 11871
1780331340.770289841,223, 11871
1780331341.821154989,223, 11871
1780331342.888800016,223, 11871
1780331343.961028621,221, 11873
1780331345.015735450,221, 11873
1780331346.065843850,221, 11873
1780331347.124671830,221, 11873
1780331348.175653747,221, 11873
1780331349.232062980,221, 11873
1780331350.286915112,221, 11873
1780331351.342354875,221, 11873
1780331352.413303449,221, 11873
1780331353.477051549,221, 11873
1780331354.539028637,221, 11873
1780331355.590204858,221, 11873
1780331356.634704816,221, 11873
1780331357.690818582,221, 11873
1780331358.735507883,221, 11873
1780331359.792863839,221, 11873
1780331360.838473073,229, 11865
1780331361.879284087,443, 11651
1780331362.923464025,443, 11651
1780331363.967035963,443, 11651
1780331365.008247189,443, 11651
1780331366.048022295,443, 11651
1780331367.090828804,443, 11651
1780331368.143624267,475, 11619
1780331369.201337698,475, 11619
1780331370.259212239,475, 11619
1780331371.301387170,4353, 7741
1780331372.348052489,4395, 7699
1780331373.398441292,4401, 7693
1780331374.442819878,3701, 8393
1780331375.488676913,3701, 8393
1780331376.537137337,3949, 8145
1780331377.582595912,3949, 8145
1780331378.631284683,3949, 8145
1780331379.675468881,3949, 8145
1780331380.715856597,3949, 8145
1780331381.769289981,4445, 7649
1780331382.844757988,5545, 6549
1780331383.890538802,8789, 3305
1780331384.941536102,8861, 3233
1780331386.003261108,8981, 3113
1780331387.049630016,8981, 3113
1780331388.090198200,8981, 3113
1780331389.129138409,8993, 3101
1780331390.176380621,8993, 3101
1780331391.217469104,8993, 3101
1780331392.259108520,8993, 3101
1780331393.305263893,8993, 3101
1780331394.355449935,8993, 3101
1780331395.401457902,8993, 3101
1780331396.448014619,8993, 3101
1780331397.495300060,8993, 3101
1780331398.542887563,8993, 3101
1780331399.592405596,8993, 3101
1780331400.637958729,8993, 3101
1780331401.676268209,8993, 3101
1780331402.719467335,8993, 3101
1780331403.762955367,8993, 3101
1780331404.814493297,8993, 3101
1780331405.861830221,8993, 3101
1780331406.904765897,8993, 3101
1780331407.944912211,8993, 3101
1780331408.992513662,8993, 3101
1780331410.035186229,8993, 3101
1780331411.076447857,8993, 3101
1780331412.128356779,8993, 3101
1780331413.168891186,8993, 3101
1780331414.207933209,8993, 3101
1780331415.247437174,8993, 3101
1780331416.288991031,8993, 3101
1780331417.331420278,8993, 3101
1780331418.383560765,8993, 3101
1780331419.442957885,8993, 3101
1780331420.483656618,8993, 3101
